1	1	.claude-plugin/marketplace.json
123	5	.githooks/pre-push
1	0	AGENTS.md
5	4	README.ko.md
5	4	README.md
3	1	docs/plugin-dev-cheatsheet.md
1	1	plugins/cwf/.claude-plugin/plugin.json
11	0	plugins/cwf/contracts/change-impact.json
5	1	plugins/cwf/contracts/claims.json
1	2	plugins/cwf/hooks/hooks.json
26	3	plugins/cwf/hooks/scripts/compact-context.sh
146	4	plugins/cwf/hooks/scripts/track-user-input.sh
51	15	plugins/cwf/hooks/scripts/workflow-gate.sh
1	0	plugins/cwf/scripts/README.md
26	19	plugins/cwf/scripts/check-run-gate-artifacts.sh
196	0	plugins/cwf/scripts/check-setup-readiness.sh
29	4	plugins/cwf/scripts/next-prompt-dir.sh
194	0	plugins/cwf/scripts/retro-light-fastpath.sh
47	11	plugins/cwf/scripts/test-hook-exit-codes.sh
31	15	plugins/cwf/skills/hitl/SKILL.md
22	0	plugins/cwf/skills/hitl/references/hitl-state-model.md
88	28	plugins/cwf/skills/retro/SKILL.md
6	3	plugins/cwf/skills/retro/references/retro-gates-checklist.md
57	0	plugins/cwf/skills/run/SKILL.md
44	0	plugins/cwf/skills/setup/SKILL.md
123	5	plugins/cwf/skills/setup/assets/githooks/pre-push.template.sh
35	0	plugins/cwf/skills/setup/references/runtime-and-index-phases.md
17	0	plugins/cwf/skills/setup/references/setup-contract.md
6	0	plugins/cwf/skills/setup/scripts/bootstrap-setup-contract.sh
4	0	plugins/cwf/skills/setup/scripts/check-configure-git-hooks-runtime.sh
4	0	plugins/cwf/skills/setup/scripts/check-setup-contract-runtime.sh
15	1	plugins/cwf/skills/setup/scripts/sync-hook-state.sh
23	20	plugins/cwf/skills/update/SKILL.md
75	3	scripts/hook-core-smoke.sh
172	5	scripts/noninteractive-skill-smoke.sh
59	0	scripts/premerge-cwf-gate.sh
353	0	scripts/runtime-residual-smoke.sh
96	0	scripts/tests/check-setup-readiness-fixtures.sh
71	0	scripts/tests/next-prompt-dir-fixtures.sh
26	1	scripts/tests/noninteractive-skill-smoke-fixtures.sh
188	0	scripts/tests/runtime-residual-smoke-fixtures.sh
